month,Luxury,floors,bedrooms,bathrooms,basement,view,waterfront,condition,sqft_lot,sqft_living,sqft_above,yr_built,renovated,lat,long,dist_to_center,price
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,C,23.0519963566051,9.067704196461369,3.7132425074508926,"[1940.50, 1949.50)",0,47.511700000000005,-122.378,0.18260832242269284,3.900974892405325
"[4.50, 7.50)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,22.606617645892594,10.631270556024896,3.9165282591527912,"[1994.50, 2009.50)",0,47.4815,-122.47,0.27894759733979074,3.9347263820095284
"[7.50, inf)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",0,0,0,A,24.086795335378127,8.592354503818086,3.6405869268761752,"[1940.50, 1949.50)",0,47.5122,-122.37400000000001,0.17878295465320182,3.9041900412291937
"[4.50, 7.50)",1,"(-inf, 1.25)","[4.50, inf)","[2.75, 3.25)",1,1,0,B,23.573512062804323,11.264243216634855,3.877206898503708,"[2009.50, inf)",0,47.509,-122.24,0.08518608533970398,3.9396500442025326
"[4.50, 7.50)",0,"[1.75, inf)","[3.50, 4.50)","[2.75, 3.25)",0,0,0,C,23.118070280322982,10.557129347987969,3.9079697670660756,"[1949.50, 1994.50)",0,47.5338,-122.033,0.18842418573255348,3.928469737284088
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,24.926534671973045,10.48881905624131,3.8999979246205743,"[2009.50, inf)",0,47.6907,-121.917,0.3126599693195679,3.919067232298314
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,C,23.319864935143574,9.657008160205306,3.795826554428269,"[1949.50, 1994.50)",0,47.2787,-122.20500000000001,0.3111681470355286,3.8883141055048234
"[7.50, inf)",0,"[1.75, inf)","[4.50, inf)","[1.75, 2.75)",0,0,0,B,23.909961605947174,11.142481463820301,3.9729913945069804,"[2009.50, inf)",0,47.738400000000006,-122.348,0.20084367772312323,3.914234220652252
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.25, 1.75)",1,0,0,C,23.477739141111957,9.258068587779889,3.671990487541123,"[1949.50, 1994.50)",0,47.6578,-122.39,0.1896988329527478,3.921252195803426
"[4.50, 7.50)",0,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,19.154114861575295,10.042105827388284,3.845741343948072,"(-inf, 1940.50)",1,47.6662,-122.365,0.1702062674960713,3.9278222484798775
"[7.50, inf)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,21.475821825811853,10.248932497688541,3.871329574189188,"[1949.50, 1994.50)",0,47.26700000000001,-122.312,0.33763223589066466,3.9059448910994052
"[7.50, inf)",1,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,A,20.444347945335604,10.127486087378063,3.6906558431625,"(-inf, 1940.50)",0,47.67819999999999,-122.314,0.13430351113238753,3.9340518347630717
"[4.50, 7.50)",1,"[1.75, inf)","(-inf, 2.50)","[1.75, 2.75)",0,0,0,B,22.094188250983407,10.590422654676606,3.9118249815627846,"[1994.50, 2009.50)",0,47.6364,-122.28,0.08169630088639149,3.9659654433936846
"[7.50, inf)",0,"(-inf, 1.25)","(-inf, 2.50)","[1.75, 2.75)",1,0,0,B,23.88687571640056,9.630168398118995,3.6168636541644976,"(-inf, 1940.50)",0,47.49889999999999,-122.329,0.14741559348251287,3.896767304776444
"[7.50, inf)",1,"[1.25, 1.75)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,A,19.451104390724712,10.484470464542747,3.791324055831247,"(-inf, 1940.50)",0,47.5838,-122.39,0.17718016838261907,3.9421630924590034
"[7.50, inf)",0,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,C,22.593568139258757,11.234476700225768,3.982699817976028,"[1949.50, 1994.50)",0,47.3863,-122.156,0.21127915288083424,3.919174495729541
"[7.50, inf)",0,"[1.75, inf)","(-inf, 2.50)","[1.75, 2.75)",1,0,0,B,15.618802467211054,9.400609000397337,3.7311882197600994,"[1994.50, 2009.50)",0,47.659,-122.346,0.15001118719415887,3.919169140485399
"[7.50, inf)",1,"(-inf, 1.25)","[4.50, inf)","[1.75, 2.75)",1,0,0,A,26.082265608952373,10.958756597383623,3.8795057369770465,"[1949.50, 1994.50)",0,47.5958,-122.175,0.03839721244307343,3.9478161623224888
"[7.50, inf)",1,"[1.25, 1.75)","[2.50, 3.50)","[1.75, 2.75)",1,1,0,B,23.41586322405464,10.924119115385174,3.8829003070808508,"(-inf, 1940.50)",0,47.5829,-122.382,0.16921905576858187,3.943014686679212
"[4.50, 7.50)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,26.04672980003287,10.853006122028278,3.9415551392012524,"[1949.50, 1994.50)",0,47.5717,-121.991,0.22265459665424753,3.938315323852811
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,22.026138585160737,10.809099651175684,3.9366661338080418,"[1994.50, 2009.50)",0,47.69220000000001,-122.174,0.10957757704120769,3.9387872344369534
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,24.65862736804673,10.838476967326548,3.939940905337671,"[1994.50, 2009.50)",0,47.7073,-122.112,0.15491560674941549,3.9424755821441426
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,26.468826847625333,9.657008160205306,3.795826554428269,"[1949.50, 1994.50)",0,47.4838,-122.33000000000001,0.15791364688360254,3.905161081576339
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,C,25.44367526750948,9.191068521127088,3.7311882197600994,"[1949.50, 1994.50)",0,47.532399999999996,-121.763,0.45356292880247817,3.9079082323613963
"[7.50, inf)",1,"[1.75, inf)","[4.50, inf)","[3.25, inf)",1,0,0,C,27.473596351254056,10.73371719522911,3.8640181946632457,"(-inf, 1940.50)",0,47.6094,-122.291,0.08051008469245532,3.941581582316952
"[4.50, 7.50)",0,"[1.75, inf)","[3.50, 4.50)","[2.75, 3.25)",0,0,0,B,22.574436472379542,10.60686255081856,3.9137214208662057,"[1949.50, 1994.50)",0,47.7348,-122.295,0.16664796602149162,3.911676930066445
"[4.50, 7.50)",0,"[1.25, 1.75)","[4.50, inf)","[1.75, 2.75)",0,0,0,B,27.723913109386135,10.344685526101777,3.8829003070808508,"[1949.50, 1994.50)",0,47.7751,-122.38,0.249527169993354,3.925529861184166
"[7.50, inf)",1,"(-inf, 1.25)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,B,24.73268604360151,10.845754669405,3.877206898503708,"[1949.50, 1994.50)",0,47.77069999999999,-122.123,0.20204529220884593,3.932299600405639
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[3.25, inf)",1,0,0,B,22.245934524368842,12.411452304394167,4.03532049643231,"[1994.50, 2009.50)",0,47.6374,-122.288,0.08891470826245321,3.9863638026241754
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,C,23.928281179796357,10.48881905624131,3.747698277151229,"[1949.50, 1994.50)",0,47.7622,-122.302,0.19408299775359336,3.9232102992182365
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,26.10871834980399,10.90304754825311,3.94708785205163,"[1994.50, 2009.50)",0,47.55149999999999,-122.083,0.13543886242240732,3.939652889243935
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,20.63724238860566,10.260672588188703,3.8727574876667554,"[2009.50, inf)",0,47.345499999999994,-122.21,0.24428478657979416,3.906099683582416
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,B,23.680620142907667,9.547303039156583,3.7810400560184454,"(-inf, 1940.50)",1,47.4303,-122.046,0.23085110359057134,3.894635324292342
"[7.50, inf)",1,"(-inf, 1.25)","[2.50, 3.50)","[2.75, 3.25)",1,1,0,A,24.24130470442571,10.999552608166924,3.845741343948072,"[1949.50, 1994.50)",0,47.7011,-122.206,0.11154754422863485,3.940383699263004
"[4.50, 7.50)",0,"[1.25, 1.75)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,B,21.090851456369684,9.657008160205306,3.795826554428269,"(-inf, 1940.50)",0,47.5288,-122.325,0.12758865017129445,3.9030424997057436
"[7.50, inf)",0,"(-inf, 1.25)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,C,25.86840372706905,10.344685526101777,3.8829003070808508,"[1949.50, 1994.50)",0,47.3215,-122.369,0.3103678753208591,3.898221591175451
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[3.25, inf)",1,0,0,B,18.067309238811355,11.498573581889739,3.9918663671653536,"[1949.50, 1994.50)",0,47.6992,-122.38499999999999,0.20392870268871963,3.9478163782470004
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[3.25, inf)",0,0,0,B,27.34057261866801,12.022614318222095,4.060693887411996,"[1949.50, 1994.50)",0,47.6624,-122.071,0.15942675438327594,3.959051144132938
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,A,21.44277203759713,9.929812410181325,3.662015482714956,"[1940.50, 1949.50)",0,47.5763,-122.222,0.016242199753625865,3.9284778515951335
"[7.50, inf)",0,"(-inf, 1.25)","(-inf, 2.50)","[1.75, 2.75)",1,0,0,B,23.85758703614426,9.929812410181325,3.718529655766038,"[1940.50, 1949.50)",0,47.6932,-122.395,0.20940705999162396,3.9280696437970937
"[4.50, 7.50)",1,"[1.75, inf)","[3.50, 4.50)","[3.25, inf)",1,1,0,C,22.673407708738093,11.412422551636377,3.930780942028726,"[1949.50, 1994.50)",1,47.4556,-122.372,0.20810383953018982,3.9555184830058985
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,20.5365714074681,10.409042771387808,3.8905815125431515,"[1994.50, 2009.50)",0,47.33379999999999,-122.052,0.3023485282666443,3.9035421560344057
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,25.56858171700546,10.506118560431858,3.9020246881723986,"[1994.50, 2009.50)",0,47.681,-122.032,0.2026217473637518,3.9340518347630717
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.25, 1.75)",0,0,0,C,24.900547673538078,9.975513956911508,3.837325176866874,"[1949.50, 1994.50)",0,47.29030000000001,-122.214,0.29946927622567615,3.894530844115436
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,23.62758351724747,10.687086357932385,3.9229077498026927,"[1994.50, 2009.50)",0,47.6059,-122.307,0.09545283600435871,3.936854497389939
"[7.50, inf)",1,"[1.75, inf)","[4.50, inf)","[3.25, inf)",0,0,0,B,25.74235731396522,11.611457153996183,4.021129291687311,"[2009.50, inf)",0,47.68430000000001,-122.016,0.21843545791070967,3.9527952243514055
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,C,27.260194627417068,9.7733311514143,3.811225429782351,"[1949.50, 1994.50)",0,47.758700000000005,-122.144,0.18245070949490572,3.916387850680351
"[7.50, inf)",0,"[1.75, inf)","(-inf, 2.50)","[1.75, 2.75)",0,0,0,B,23.223319062077724,9.84713628710799,3.8208495552530586,"[1994.50, 2009.50)",0,47.3502,-122.02,0.3075886317994623,3.897819874288069
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[2.75, 3.25)",0,0,0,B,20.63046809534451,10.48011229954161,3.8989758261468452,"[2009.50, inf)",0,47.7336,-121.965,0.28662228814235496,3.9194942946631355
"[4.50, 7.50)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",1,0,0,B,22.361384965105877,9.518858761383209,3.707818436533963,"(-inf, 1940.50)",0,47.6823,-122.365,0.17801830093553062,3.9283966174819382
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,24.369360884975585,11.026299991653854,3.9605383493771726,"[1994.50, 2009.50)",0,47.7735,-122.22700000000002,0.1842713504747566,3.9310504614895834
"[7.50, inf)",1,"[1.75, inf)","(-inf, 2.50)","[1.75, 2.75)",1,1,0,C,24.14238776618229,11.065770476389007,3.8627708506619776,"[1949.50, 1994.50)",0,47.4847,-122.0,0.23743255582757442,3.9337090636633985
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",1,1,0,B,24.321234300128705,10.127486087378063,3.8208495552530586,"[1994.50, 2009.50)",0,47.591,-122.29300000000002,0.08008913839610925,3.93131165377488
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,C,25.777877699558452,11.012970467116517,3.95909569495834,"[1949.50, 1994.50)",0,47.5477,-122.215,0.04211870376672487,3.9525774065935635
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",1,0,0,B,22.334806676180786,9.258068587779889,3.710547991627614,"(-inf, 1940.50)",0,47.5402,-122.38,0.17427716492141382,3.9227313061156552
"[4.50, 7.50)",1,"[1.75, inf)","[4.50, inf)","[1.75, 2.75)",0,0,0,B,27.149625796978437,11.032932005769347,3.9612550577543053,"[1949.50, 1994.50)",0,47.57940000000001,-122.02500000000002,0.18820610734853407,3.9402166071984515
"[4.50, 7.50)",1,"[1.75, inf)","[2.50, 3.50)","[1.25, 1.75)",0,0,0,B,18.262960362937893,10.063804831660775,3.848464845513297,"(-inf, 1940.50)",0,47.6352,-122.358,0.15202707927617012,3.951698528560334
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,14.540946886231097,9.50447512780164,3.77519678362592,"[1994.50, 2009.50)",0,47.6977,-122.349,0.1736868816265946,3.9127219512362084
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,26.72921243694871,10.845754669405,3.9407499237966688,"[1994.50, 2009.50)",0,47.53730000000001,-121.87,0.3469109194157637,3.9318277342884946
"[4.50, 7.50)",1,"(-inf, 1.25)","(-inf, 2.50)","[1.75, 2.75)",0,1,0,A,22.197955328639722,9.835030484240171,3.8192786589117422,"(-inf, 1940.50)",0,47.6857,-122.208,0.09605876844464555,3.9546855782103933
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[2.75, 3.25)",0,0,0,C,25.71176816481978,11.1736099404994,3.9762913545588843,"[1949.50, 1994.50)",0,47.7108,-122.225,0.12163398038720118,3.947599424120845
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,B,22.465012519460203,9.306792467722458,3.585617481434291,"[1949.50, 1994.50)",1,47.6601,-122.4,0.1998636548729426,3.910872695532428
"[4.50, 7.50)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",0,0,0,C,22.39466797994719,9.258068587779889,3.740784708184358,"[1940.50, 1949.50)",0,47.32260000000001,-122.287,0.2772475013936087,3.9207444871950337
"[4.50, 7.50)",0,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,20.471670305458204,10.471367073107475,3.897947834714851,"[1994.50, 2009.50)",0,47.4909,-122.157,0.11358624169813564,3.9064073385223246
"[4.50, 7.50)",1,"[1.25, 1.75)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,C,21.87138374126752,10.28779585417744,3.749951678716601,"[1940.50, 1949.50)",0,47.6635,-122.362,0.16631671343254792,3.933012161359651
"[4.50, 7.50)",1,"(-inf, 1.25)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,B,25.898323416465974,10.910095901787303,3.8627708506619776,"[1949.50, 1994.50)",0,47.4688,-122.009,0.23710040782773198,3.929906394648841
"[4.50, 7.50)",0,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,C,24.82709547046301,10.10648960480324,3.8537954362084315,"[1949.50, 1994.50)",0,47.40449999999999,-122.171,0.18995078093931575,3.9048428679653426
"[4.50, 7.50)",1,"[1.75, inf)","[2.50, 3.50)","[1.25, 1.75)",0,0,0,B,18.262960362937893,9.929812410181325,3.831498102046957,"[1940.50, 1949.50)",1,47.5678,-122.378,0.16653484616935127,3.930445352690813
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,24.408531464330572,9.53313417039717,3.7791113463645347,"[1949.50, 1994.50)",0,47.2881,-122.36300000000001,0.33693779820167563,3.891599911968815
"[7.50, inf)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,21.168668614991212,9.760749791705244,3.809573585503562,"[2009.50, inf)",0,47.3596,-122.082,0.26479640748407524,3.901502484143347
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[3.25, inf)",1,0,0,B,24.328130627591,12.146136839619288,3.990073752398861,"[1994.50, 2009.50)",0,47.5269,-121.922,0.29763559976861403,3.9638997544498977
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",1,0,0,B,22.776595707533605,10.127486087378063,3.7287175959012977,"[1949.50, 1994.50)",0,47.3186,-122.391,0.32441344488081886,3.90236579411193
"[7.50, inf)",1,"(-inf, 1.25)","[4.50, inf)","[1.75, 2.75)",1,0,0,B,25.570379579469662,11.576202420903032,3.9246884388848353,"[1949.50, 1994.50)",0,47.6976,-122.381,0.19969640463195748,3.9481723850264347
"[7.50, inf)",1,"[1.25, 1.75)","[2.50, 3.50)","[2.75, 3.25)",1,0,0,C,23.390352067294582,11.560907788751665,3.912775755742427,"[1949.50, 1994.50)",0,47.4257,-122.03,0.24571923533046366,3.9387579521953517
